Level,Top 1 Soft Skill,Top 2 Soft Skill,Top 3 Soft Skill,Top 4 Soft Skill,Top 5 Soft Skill,Top 6 Soft Skill,Top 7 Soft Skill,Top 8 Soft Skill,Top 9 Soft Skill,Top 10 Soft Skill
Junior Data Analysts,Positivity,Communications,Collaboration,Research,Planning,Presentations,Professionalism,Decisiveness,Innovation,Verbal Communication Skills
Lead Data Analysts,Positivity,Communications,Collaboration,Planning,Presentations,Innovation,Research,Decisiveness,Professionalism,Leadership
Senior Data Analysts,Positivity,Communications,Collaboration,Planning,Presentations,Innovation,Decisiveness,Research,Leadership,Professionalism
Other,Positivity,Communications,Collaboration,Research,Presentations,Planning,Verbal Communication Skills,Decisiveness,Writing,Problem Solving
