Level,Top 1 Hard Skill,Top 2 Hard Skill,Top 3 Hard Skill,Top 4 Hard Skill,Top 5 Hard Skill,Top 6 Hard Skill,Top 7 Hard Skill,Top 8 Hard Skill,Top 9 Hard Skill,Top 10 Hard Skill
Junior Data Analysts,SQL (Programming Language),Data Visualization,Python (Programming Language),Tableau (Business Intelligence Software),Data Modeling,R (Programming Language),Quantitative Data Analysis,Power BI,Accounting,Java Data Mining
Lead Data Analysts,SQL (Programming Language),Tableau (Business Intelligence Software),Python (Programming Language),Data Visualization,Quantitative Data Analysis,Business Intelligence,Customer Data Integration,Data Management,Accounting,Power BI
Senior Data Analysts,SQL (Programming Language),Tableau (Business Intelligence Software),Data Visualization,Python (Programming Language),Quantitative Data Analysis,Power BI,Data Modeling,Business Intelligence,R (Programming Language),Customer Data Integration
Other,SQL (Programming Language),Python (Programming Language),Tableau (Business Intelligence Software),Data Visualization,Quantitative Data Analysis,Power BI,R (Programming Language),Extract Transform Load (ETL),Data Modeling,Accounting
